Date,ASA51,XNDX,SPXT,CACR,DAX,NKYTR,HSI1,KSP2TR
1/04/2014,45520.9,3966.59,3399.51,9898.62,9603.71,21573.21,52295.44,268.27
2/04/2014,45640.26,3974.86,3409.8,9907.87,9623.36,21798.29,52472.45,269.05
3/04/2014,45698.29,3944.05,3406,9949.17,9628.82,21981.41,52568.28,268.68
4/04/2014,45809.42,3837.58,3363.41,10027.94,9695.77,21969.58,52440.15,268.81
7/04/2014,45733.86,3803.29,3327.27,9919.55,9510.85,21597.79,52130.47,269.25
8/04/2014,45707.71,3836.43,3340.84,9894.4,9490.79,21303.23,52642.58,269.85
9/04/2014,46157.14,3904.24,3377.61,9934.3,9506.35,20855.21,53227.67,270.62
10/04/2014,46301.16,3782.05,3307.08,9869.03,9454.54,20855.84,54028.76,271.86
11/04/2014,45861,3737.68,3276.04,9762.53,9315.29,20359.87,53601.59,269.91
14/04/2014,45272.18,3767.82,3302.98,9810.35,9339.17,20287.11,53683.53,269.89
15/04/2014,45518.94,3782.15,3325.3,9722.62,9173.71,20413.48,52827.11,269.09
16/04/2014,45790.61,3831.2,3360.27,9857.55,9317.82,21027.29,52884.78,269.18
17/04/2014,46077.11,3832.77,3365,9916.08,9409.71,21027.07,53034.45,269
22/04/2014,46288.95,3891.62,3391.58,10033.32,9600.09,20985.13,52979.23,270.96
23/04/2014,46613.86,3857.24,3384.5,9959.18,9544.19,21214.83,52472.59,270.6
24/04/2014,46729.59,3894.11,3390.39,10027.18,9548.68,21008.78,52596.53,270.48
28/04/2014,46772.42,3844.53,3374.04,9991.34,9446.36,20838.5,51607.43,266.05
30/04/2014,46375.34,3884.66,3400.46,10071.44,9603.23,20861.66,51610.78,264.52
2/05/2014,46113.29,3890.8,3395.61,10024.7,9556.02,21085.39,51906.22,264.25
7/05/2014,45927.53,3847.41,3392.1,10010.36,9521.3,20466.92,50890.1,261.43
8/05/2014,46273.96,3843.87,3388.29,10149.17,9607.4,20657,51102.71,262.97
9/05/2014,46217.41,3860.46,3394.05,10083.28,9581.45,20709.23,51163.25,263.46
12/05/2014,46112.46,3922.58,3427.01,10173.46,9702.46,20636.21,52103.25,265
13/05/2014,46533.54,3923.68,3429.3,10199.21,9754.43,21038.62,52340.77,267.69
14/05/2014,46712.96,3904.47,3413.84,10201.98,9754.39,21009.92,52880.26,271.86
15/05/2014,46834.86,3874.13,3382.52,10076.08,9656.05,20853.06,53227.04,271.83
16/05/2014,46565.33,3898.06,3395.21,10112.79,9629.1,20559.01,53197.68,272.42
19/05/2014,45969.83,3928.95,3408.52,10143.37,9659.39,20427.53,53194.29,272.89
20/05/2014,46068.49,3912.54,3386.48,10126.36,9639.08,20527.89,53524.65,272.5
21/05/2014,46104.31,3951.1,3414.45,10164.3,9697.87,20479.64,53660.46,271.84
22/05/2014,46574.87,3967.67,3422.99,10187.27,9720.91,20910.78,53974.88,272.8
23/05/2014,46684.13,3996.44,3437.58,10221.56,9768.01,21092.24,54015.16,272.89
27/05/2014,46846.98,4046.25,3458.19,10313.11,9940.82,21346.52,54054.41,269.72
28/05/2014,46979.88,4034.72,3454.88,10317.39,9939.17,21396.73,54409.42,272.47
29/05/2014,46919.43,4060.28,3473.86,10324.97,9938.9,21412.44,54244.67,272.01
30/05/2014,46690.53,4061.48,3480.29,10304.07,9943.27,21340.48,54420.73,269.29
3/06/2014,46583.49,4054.83,3482,10298.2,9919.74,21926.59,54935.06,271.65
5/06/2014,46219.84,4105.85,3512.21,10402.2,9947.83,21992.39,54565.32,269.93
10/06/2014,46503.64,4131.98,3531.62,10508.02,10028.8,21869.05,55069.55,272.09
11/06/2014,46373.41,4129.7,3519.52,10422.79,9949.81,21977.97,54945.15,272.07
12/06/2014,46159.18,4092.68,3495.57,10421.15,9938.7,21838.03,54925.52,271.44
13/06/2014,45957.27,4105.56,3506.58,10395.71,9912.87,22019.33,55279.77,268.06
16/06/2014,46019.04,4110.31,3509.54,10319.67,9883.98,21779.58,55250.65,268.76
17/06/2014,45920.02,4111.89,3517.23,10379.21,9920.32,21841.83,55020.45,269.8
18/06/2014,45767.4,4137.21,3544.42,10366.16,9930.33,22045.77,54968.59,268.01
19/06/2014,46494.23,4133.07,3549.44,10440.91,10004,22403.62,55077.41,268.14
20/06/2014,46079.91,4135.07,3555.6,10391.27,9987.24,22387.12,55140.01,264.49
23/06/2014,46367.56,4137.98,3555.14,10332.3,9920.92,22417.46,54214.63,266
24/06/2014,46193.05,4131.69,3532.57,10338.63,9938.08,22428.06,54394.91,269.09
25/06/2014,45959.71,4162.08,3549.96,10220.44,9867.75,22269.61,54370.16,267.44
26/06/2014,46573.03,4161.86,3546.38,10172.41,9804.9,22351.25,55157.5,269.38
27/06/2014,46411.52,4180.92,3553.35,10166.34,9815.17,22040.55,55213.82,268.21
30/06/2014,45991.23,4186.87,3552.18,10133.93,9833.07,22141.62,55140.59,270.05
2/07/2014,46500.64,4242.06,3579.11,10186.2,9911.27,22445.18,56230.6,271.58
3/07/2014,46806.17,4267.89,3598.73,10291.58,10029.43,22413.52,56236.75,270.64
7/07/2014,47042.82,4254.5,3584.75,10098.76,9906.07,22459.01,56266.97,269.42
8/07/2014,46974.95,4203.87,3560.53,9953.83,9772.67,22364.04,56268.06,269.4
9/07/2014,46476.66,4235.71,3577.28,9993.51,9808.2,22346.87,55394.92,268.3
10/07/2014,46578.63,4221.7,3562.49,9859.24,9659.13,22221.02,55622.91,268.61
11/07/2014,46769.1,4248.4,3568.08,9894.17,9666.34,22144.46,55609.64,266.07
14/07/2014,46978.86,4275.48,3585.37,9971.05,9783.01,22338.36,55880.64,266.64
15/07/2014,46977.99,4259.15,3578.46,9868.52,9719.41,22481.97,56151.79,269.88
16/07/2014,47043.55,4278.6,3593.91,10014.65,9859.27,22458.81,56303.34,270.32
17/07/2014,47073.99,4219.49,3551.73,9893.29,9753.88,22445.61,56297.58,271.47
