Date,AXJOA,SPXTR
22-May-2020,"60,391.92",6044.16
21-May-2020,"60,978.63",6028.93
20-May-2020,"61,225.57",6075.76
19-May-2020,"61,073.42",5975.15
18-May-2020,"59,986.08",6037.9
15-May-2020,"59,351.02",5852.84
14-May-2020,"58,514.65",5829.33
13-May-2020,"59,537.36",5761.7
12-May-2020,"59,329.93",5863.68
11-May-2020,"59,968.71",5985.66
08-May-2020,"59,198.48",5984.55
07-May-2020,"58,903.37",5884.14
06-May-2020,"59,127.41",5815.17
05-May-2020,"59,374.05",5855.58
04-May-2020,"58,416.29",5803.12
01-May-2020,"57,604.19",5778.53
30-Apr-2020,"60,602.95",5944.68
29-Apr-2020,"59,188.08",5999.74
28-Apr-2020,"58,306.54",5844.18
27-Apr-2020,"58,398.09",5874.94
24-Apr-2020,"57,533.15",5789.65
23-Apr-2020,"57,253.20",5710.04
22-Apr-2020,"57,298.59",5712.65
21-Apr-2020,"57,297.94",5584.44
20-Apr-2020,"58,743.32",5761
17-Apr-2020,"60,218.62",5865.9
16-Apr-2020,"59,436.65",5712.6
15-Apr-2020,"59,989.57",5679.53
14-Apr-2020,"60,224.84",5807.1
09-Apr-2020,"59,119.61",5691.54
08-Apr-2020,"57,138.48",5609.55
07-Apr-2020,"57,636.06",5423.52
06-Apr-2020,"58,014.90",5432.17
03-Apr-2020,"55,608.12",5075.16
02-Apr-2020,"56,565.34",5152.47
01-Apr-2020,"57,706.52",5036.64
31-Mar-2020,"55,711.41",5269.2
30-Mar-2020,"56,857.95",5354.39
27-Mar-2020,"53,135.96",5179.92
26-Mar-2020,"56,109.26",5360.49
25-Mar-2020,"54,844.41",5045.35
24-Mar-2020,"51,962.09",4987.8
23-Mar-2020,"49,872.57",4559.5
20-Mar-2020,"52,841.15",4697.09
19-Mar-2020,"52,471.57",4909.13
18-Mar-2020,"54,333.28",4885.76
17-Mar-2020,"58,062.82",5152.83
16-Mar-2020,"54,866.55",4861.22
13-Mar-2020,"60,758.38",5522.85
12-Mar-2020,"58,178.27",5051.97
11-Mar-2020,"62,796.32",5581.76
10-Mar-2020,"65,101.08",5868.11
09-Mar-2020,"63,129.28",5591.74
06-Mar-2020,"68,113.22",6050.8
05-Mar-2020,"70,071.65",6155.58
04-Mar-2020,"69,087.05",6370.35
03-Mar-2020,"70,255.27",6112.07
02-Mar-2020,"69,747.47",6288.64
28-Feb-2020,"70,210.11",6011.73
27-Feb-2020,"72,558.43",6060.67
26-Feb-2020,"73,079.12",6339.38
25-Feb-2020,"74,747.83",6363.37
24-Feb-2020,"75,936.52",6561.94
21-Feb-2020,"77,590.25",6788.6
20-Feb-2020,"77,845.45",6860.52
19-Feb-2020,"77,641.67",6886.47
18-Feb-2020,"77,151.24",6853.04
17-Feb-2020,"77,253.61",#N/A
14-Feb-2020,"77,307.76",6872.68
13-Feb-2020,"77,014.41",6858.92
12-Feb-2020,"76,826.38",6867.92
11-Feb-2020,"76,468.60",6823.59
10-Feb-2020,"76,004.98",6811.83
07-Feb-2020,"76,113.90",6761.26
06-Feb-2020,"76,402.42",6796.64
05-Feb-2020,"75,609.63",6772.98
04-Feb-2020,"75,313.65",6697.49
03-Feb-2020,"75,037.36",6598.63
31-Jan-2020,"76,055.84",6551
30-Jan-2020,"75,960.54",6668.52
29-Jan-2020,"76,210.84",6646.69
28-Jan-2020,"75,809.08",6652.3
24-Jan-2020,"76,850.52",6691.22
23-Jan-2020,"76,822.56",6752.09
22-Jan-2020,"77,307.73",6743.9
21-Jan-2020,"76,588.26",6741.71
20-Jan-2020,"76,730.99",#N/A
17-Jan-2020,"76,564.24",6759.51
16-Jan-2020,"76,322.01",6733.35
15-Jan-2020,"75,813.25",6677.25
14-Jan-2020,"75,458.96",6664.66
13-Jan-2020,"74,825.10",6674.13
10-Jan-2020,"75,099.93",6627.87
09-Jan-2020,"74,506.03",6646.84
08-Jan-2020,"73,892.51",6601.15
07-Jan-2020,"73,988.03",6568.74
06-Jan-2020,"73,004.64",6586.54
03-Jan-2020,"72,980.63",6563.32
02-Jan-2020,"72,515.57",6609.29
31-Dec-2019,"72,445.03",6553.57
30-Dec-2019,"73,754.10",6533.91
27-Dec-2019,"73,791.49",6571.03
24-Dec-2019,"73,494.06",6536.58
23-Dec-2019,"73,396.53",6537.4
20-Dec-2019,"73,733.81",6531.75
19-Dec-2019,"73,915.46",6499.26
18-Dec-2019,"74,113.49",6470
17-Dec-2019,"74,068.74",6472.24
16-Dec-2019,"74,092.80",6470.03
13-Dec-2019,"72,902.57",6423.93
12-Dec-2019,"72,568.90",6422.35
11-Dec-2019,"73,042.75",6366.84
10-Dec-2019,"72,548.07",6348.31
09-Dec-2019,"72,798.16",6355.07
06-Dec-2019,"72,549.27",6374.7
05-Dec-2019,"72,288.20",6316.69
04-Dec-2019,"71,458.47",6305.49
03-Dec-2019,"72,602.65",6265.22
02-Dec-2019,"74,224.81",6306.88
29-Nov-2019,"74,048.83",6361.56
28-Nov-2019,"74,240.93",#N/A
27-Nov-2019,"74,086.40",6385.76
26-Nov-2019,"73,395.04",6358.46
25-Nov-2019,"72,788.19",6344.36
22-Nov-2019,"72,554.29",6296.34
21-Nov-2019,"72,155.65",6282.59
20-Nov-2019,"72,691.02",6292.17
19-Nov-2019,"73,683.64",6314.66
18-Nov-2019,"73,171.12",6318.02
15-Nov-2019,"73,457.85",6314.74
14-Nov-2019,"72,819.28",6265.42
13-Nov-2019,"72,325.01",6258.58
12-Nov-2019,"72,914.69",6253.91
11-Nov-2019,"73,009.37",6243.81
08-Nov-2019,"72,362.94",6256.11
07-Nov-2019,"72,387.10",6238.99
06-Nov-2019,"71,671.73",6219.1
05-Nov-2019,"72,062.44",6214.28
04-Nov-2019,"71,952.07",6221.63
01-Nov-2019,"71,760.84",6198.59
31-Oct-2019,"71,699.29",6138.73
30-Oct-2019,"71,980.22",6156.93
29-Oct-2019,"72,582.10",6136.47
28-Oct-2019,"72,529.47",6141.51
25-Oct-2019,"72,513.48",6107.42
24-Oct-2019,"72,021.69",6082.54
23-Oct-2019,"71,800.52",6070.87
22-Oct-2019,"71,790.73",6053.42
21-Oct-2019,"71,579.04",6074.9
